decade,caption
1880,"the gilded age — Mary, John, William ruled"
1890,"close of the frontier; Helen and Charles rose"
1900,"the Edwardian era — Mildred, Florence, Ruth"
1910,"the Great War years — biblical names surged"
1920,"jazz age — Dorothy, Betty, Bobby"
1930,"the Depression — Shirley (after Temple) skyrocketed"
1940,"WWII era — Linda, Patricia, Robert"
1950,"baby boom — James, Susan, Michael ascendant"
1960,"sixties shift — Lisa, Jennifer, Karen, Mark"
1970,"new ground — Jason, Heather, Tiffany"
1980,"the eighties — Jessica, Ashley, Christopher"
1990,"the nineties — Brittany, Tyler, Brandon"
2000,"millennium — Emily, Madison, Jacob"
2010,"the 2010s — Emma, Liam, Sophia, Noah"
2020,"the 2020s — Olivia, Liam, Charlotte, Noah"
